"loc_id","id","species","stop_id","lon","lat","timestamp","lc","used","pair","sim"
224,"KCV","HUGO",57,-64.3259776194827,-15.2069773886937,"2019-09-13 11:14:00","G",0,21,0
225,"KCV","HUGO",57,-64.3216841989713,-15.2026252407181,"2019-09-13 11:14:00","G",0,21,0
226,"KCV","HUGO",57,-64.3219508734166,-15.2027518427688,"2019-09-13 11:14:00","G",0,21,0
227,"KCV","HUGO",57,-64.3225212773831,-15.2030440931634,"2019-09-13 11:14:00","G",0,21,0
228,"KCV","HUGO",57,-64.3241163980335,-15.2032644594146,"2019-09-13 11:14:00","G",0,21,0
229,"KCV","HUGO",57,-64.3232661951479,-15.2026703150649,"2019-09-13 11:14:00","G",0,21,0
230,"KCV","HUGO",57,-64.3229282120067,-15.2031541960657,"2019-09-13 11:14:00","G",0,21,0
231,"KCV","HUGO",57,-64.3228251141613,-15.2019611793484,"2019-09-13 11:14:00","G",0,21,0
232,"KCV","HUGO",57,-64.3233643,-15.2030334,"2019-09-13 13:30:00","G",1,22,0
233,"KCV","HUGO",57,-64.3233691634923,-15.2020588768272,"2019-09-13 13:30:00","G",0,22,0
234,"KCV","HUGO",57,-64.3232423995732,-15.2019935406805,"2019-09-13 13:30:00","G",0,22,0
235,"KCV","HUGO",57,-64.3205450072383,-15.1979057331236,"2019-09-13 13:30:00","G",0,22,0
236,"KCV","HUGO",57,-64.3231233560061,-15.201976900482,"2019-09-13 13:30:00","G",0,22,0
237,"KCV","HUGO",57,-64.322373777036,-15.2021136877861,"2019-09-13 13:30:00","G",0,22,0
238,"KCV","HUGO",57,-64.3224255450114,-15.2016435479297,"2019-09-13 13:30:00","G",0,22,0
239,"KCV","HUGO",57,-64.329754719267,-15.1975578998424,"2019-09-13 13:30:00","G",0,22,0
240,"KCV","HUGO",57,-64.3240871777868,-15.2008723330976,"2019-09-13 13:30:00","G",0,22,0
241,"KCV","HUGO",57,-64.3232646504321,-15.2021595463493,"2019-09-13 13:30:00","G",0,22,0
242,"KCV","HUGO",57,-64.3204811069345,-15.2007239621424,"2019-09-13 13:30:00","G",0,22,0
243,"KCV","HUGO",57,-64.3226776,-15.202035,"2019-09-13 15:47:00","G",1,23,0
244,"KCV","HUGO",57,-64.3228597154659,-15.2027212161804,"2019-09-13 15:47:00","G",0,23,0
245,"KCV","HUGO",57,-64.323866239818,-15.2017557133975,"2019-09-13 15:47:00","G",0,23,0
246,"KCV","HUGO",57,-64.3234245923823,-15.2020552321679,"2019-09-13 15:47:00","G",0,23,0
247,"KCV","HUGO",57,-64.323714806452,-15.2030055574515,"2019-09-13 15:47:00","G",0,23,0
248,"KCV","HUGO",57,-64.323008672718,-15.2029164849549,"2019-09-13 15:47:00","G",0,23,0
249,"KCV","HUGO",57,-64.3236283915467,-15.2033608823916,"2019-09-13 15:47:00","G",0,23,0
250,"KCV","HUGO",57,-64.3235452061681,-15.2036333156062,"2019-09-13 15:47:00","G",0,23,0
251,"KCV","HUGO",57,-64.3244706711462,-15.2032331519813,"2019-09-13 15:47:00","G",0,23,0
252,"KCV","HUGO",57,-64.3335308800819,-15.158213234389,"2019-09-13 15:47:00","G",0,23,0
253,"KCV","HUGO",57,-64.3240701236925,-15.2037844408299,"2019-09-13 15:47:00","G",0,23,0
254,"KCV","HUGO",57,-64.3226471,-15.2019587,"2019-09-13 17:59:00","G",1,24,0
255,"KCV","HUGO",57,-64.2861609224744,-15.1690642389376,"2019-09-13 17:59:00","G",0,24,0
256,"KCV","HUGO",57,-64.3227361832709,-15.2011134052575,"2019-09-13 17:59:00","G",0,24,0
257,"KCV","HUGO",57,-64.3228807392001,-15.201258669521,"2019-09-13 17:59:00","G",0,24,0
258,"KCV","HUGO",57,-64.3520509908455,-15.2145338237418,"2019-09-13 17:59:00","G",0,24,0
