"stop_id","scale","used","forcat_prop","forest_prop","savanna_prop","wetland_prop","grassland_prop","ag_prop","pasture_prop","farming_prop","RLO_prop"
9,20,1,0.468611435420082,0.468507978446511,0.000103456973570956,0.0201066774443604,0.0958677924915622,0.000887880478199593,0.0698517674358529,0.0707396479140525,0.341417201498182
10,20,1,0.385925592072236,0.0924603402804429,0.293465251791793,0.00305780015156781,0.162963832154478,0.0970265675072257,0.346261243993433,0.446963932843183,0.000823890730977139
11,20,1,0.178304548449813,0.177851392563919,0.000453155885893409,0.0693928095650373,0.0740612904858718,0.01288294268017,0.123273751032695,0.136156693712864,0.542073953316668
12,20,1,0.392702571490545,0.38413742553769,0.00856514595285513,0.000575068067879669,2.84981331719317e-05,0.335906329059491,0.268474318927054,0.604380647986545,0.0020824489508075
13,20,1,0.573756963729103,0.573572693813182,0.00018426991592063,0.0637406523234479,0.0588118482291032,0.000505808539419574,0.0577047207781451,0.0582105293175647,0.243766728425975
14,20,1,0.339723572860444,0.339723572860444,0,0.0112542507662977,0.16659406080294,0.000279742349460227,0.0832358360628898,0.0835155784123501,0.398912537157968
15,20,1,0.0767144388675119,0.0767122981698473,2.14069766461805e-06,0.0124475636806626,0.162705390986368,0.000142514498511546,0.00746290579498666,0.00760542029349821,0.739841085574705
16,20,1,0.0556212742898603,0.0491114804495836,0.00650979384027672,0.0281904577759089,0.867015064691563,0.0368236852080042,0.0057023681826761,0.042532472941579,0.00658109141450549
300,20,1,0.769530062186878,0.769530062186878,0,0.167337330631488,0,0.00527858596293231,0,0.0166335106652338,0.0457864113446591
301,20,1,0.231488139685755,0.231488139685755,0,0.12901924392906,0.606514428344432,0,0.0164187143118402,0.0164187143118402,0.0165594737289127
302,20,1,0.929530358175811,0.929530358175811,0,0.00562635931585135,0,0.0112725897178841,0,0.0253432870834199,0.0394800039418501
303,20,1,0.630722432652797,0.630722432652797,0,0.0110778845312446,0,0.0823406328263735,0.000402578219017114,0.249551488129153,0.106191701978291
304,20,1,0.131806135966166,0.131806135966166,0,0.220489098443036,0.599045583305399,0,0.0367296175337926,0.0367296175337926,0.0119295647516065
305,20,1,0.296742806203029,0.296742806203029,0,0.000198778271517516,0.331632270268733,0,0.315174946441454,0.325500497735878,0.00143436179211738
306,20,1,0.755057652792394,0.755057652792394,0,0.000171845346156787,0,0.0986773252035725,0.00153186613078919,0.136416417152798,0.102693171002682
307,20,1,0.480931792200953,0.480931792200953,0,0.0173721566649177,0.251302749644394,0.198551244613843,0.0239008527393135,0.247404818906872,0.00236343842734269
308,20,1,0.270003526238183,0.270003526238183,0,0.0842419505401992,0.406191009765355,0.0162224156918126,0.166242718910434,0.216425119283522,0.0223094435530699
309,20,1,0.583336740022316,0.583336740022316,0,0.0109844779269374,0,0.110856657428468,0.000286500051342788,0.299169963431878,0.103574687496037
310,20,1,0.248614055384431,0.248614055384431,0,0.0220287473901379,0.613457610870491,0,0.0938275178343152,0.0988059790038078,0.0168065943520838
311,20,1,0.23365304514343,0.23365304514343,0,0.143000217701767,0.529556504060493,0,0.0376731978130969,0.0376731978130969,0.0561107901959695
312,20,1,0.614230767439365,0.614230767439365,0,0.190128119732245,0,0.0722336426000598,5.68617905862034e-06,0.106900160727377,0.0831536428744459
313,20,1,0.187929444852449,0.187929444852449,0,0.131030322067169,0.457471892412573,0,0.135713663773203,0.137575303862132,0.0573642511446144
314,20,1,0.019830928475193,0.019830928475193,0,0.0693929985095047,0.154628411964527,0.198067243943025,0.290528082281617,0.540609273070631,0.00603191601323431
315,20,1,0.103729794643689,0.103729794643689,0,0.0425392788973904,0.528034789004696,0,0.17566305518073,0.17566305518073,0.145240757957338
